Id,Closeness_centrality,Betweeness_centrality,Clustering_Coefficient,Popularity_score
4CuMwzDzEdlUJMEna38VQ0,0.3508572869389813,0.08017091635589836,0.13911290322580644,33
0r1S7BCoaU5uGAgAWptbl9,0.2735135135135135,0.006402292916641955,0.1,69
27LlKWxS3KXW7RRAxN5S8s,0.31937112692219416,0.004350345583076668,0.2987012987012987,68
1El4YQA8oCXX7ynFSxRTFq,0.29726554155095064,0.009197959059876474,0.15666666666666668,70
1AgAVqo74e2q4FVvg0xpT7,0.3203268876611418,0.03379517885237846,0.1592442645074224,69
0jdNdfi4vAuVi7a6cPDFBM,0.3390594541910331,0.03707195852884292,0.3084677419354839,77
3hBQ4zniNdQf1cqqo6hzuW,0.3239813736903376,0.0588707321873474,0.12409288824383163,61
0pSx3asj3usz5PRt8COo0E,0.29037979966611016,0.01941190273476421,0.0960591133004926,73
5SulO4l40qDuV9zUGLZx7n,0.3392661221504328,0.09834833232440512,0.12615384615384614,63
1hHYi4Vy83BGo6TqKd98hu,0.27284313725490195,0.003940016978282679,0.20512820512820512,58
2n0Ki4A5tKTEloq3WCt1IH,0.2983490566037736,0.0020070612309503314,0.26373626373626374,66
4BFn4jmfqSNaHtPWHTcy41,0.28225152129817443,0.007517327180753879,0.13970588235294118,59
7K80yOTC0Id95gRaOxDG5u,0.2611674174174174,0.0,1.0,57
6jwzGu5VdkR5tsRROYuxso,0.32304120719674984,0.0045385385920517175,0.375,34
5JVKdHw7BhuMqSSBVx2D7G,0.2597535934291581,0.0,0,38
2fwe5Hfv8bvpVDXB64hndj,0.2649719127868228,6.524582330553115e-05,0.1,74
7F2utINZ6tSokSiZTQBE27,0.3874425727411945,0.3078075358926669,0.09292881032011467,67
3yiEJ9SByXZMXTwaKdVFN4,0.32993479549496146,0.037397265293254975,0.19831932773109243,72
4G1zP5i0r57g1c1CxrPhfM,0.2785228182546037,0.005664656512543921,0.35555555555555557,67
7fFfPSHnrplQpezV79CFYc,0.2684738568396681,0.026891575386874624,0.18681318681318682,66
0JOxt5QOwq0czoJxvSc5hS,0.295906432748538,0.04368354379564151,0.03296703296703297,33
3Ie1hoP4duVuhnHY5wnIz0,0.2920558295728828,0.0,1.0,17
09ytTmxyx0kXHPm6sd9b6p,0.2597535934291581,0.0,0,11
3Q83osBFALk7XYgK5r0N01,0.2597535934291581,0.0,0,66
6CKch2otN4SPznHf9ms5JF,0.34260741105502895,0.0772146376817828,0.35833333333333334,27
5DqiTMpZU7nkBZfWtJj4Ha,0.2597535934291581,0.0,0,65
4nXXIxTneJksvGXrlmX8oA,0.2693573364305072,0.04960671323839724,0.0005120327700972862,52
26PZBCQnswFp61ccTrVJOa,0.2939064315133594,0.005454632131274702,0.12105263157894737,79
23TFHmajVfBtlRx5MXqgoz,0.33643617021276595,0.023208303510701963,0.09388335704125178,25
4cTOxBErR9Of5kMfjVw86j,0.2625224035468352,6.593780113201067e-05,0,54
7iCdyOeJYk06mKJ6nLrFQ6,0.29077421377076584,0.003294516720151666,0.21978021978021978,66
6289Bbkkk3gaCbh1K7Rv8F,0.31937112692219416,0.04194557978218505,0.10106382978723404,40
4ELZUuHRIUrAkko2cjpWB1,0.2375586854460094,0.006760538129546688,0,64
6JFRI91YaCXREGQYzHSnUH,0.31718714383405516,0.01395862768767502,0.24561403508771928,53
7rccKwEbDm4PjYBEZFEm3A,0.23226506426306126,0.0057732360615856135,0,46
05OYdU3diEpNYjaAHNaZTt,0.24739976886834386,2.463596118491633e-07,0,69
6FtwCmLY6L1sqvjaQ2lV6G,0.3241700640652301,0.032073333282720405,0.1034965034965035,67
3yGA8yyowtKVXgNIXguMfz,0.26674973641330396,0.00034620983311930737,0.2727272727272727,63
0QqmgpgI0C1DyyDk49vnxY,0.2868185097392559,0.0018517174179140835,0.21978021978021978,67
3o1cwVQfiDWafhYA02k13C,0.3285326407744068,0.08839244829434342,0.006201550387596899,59
49faW2w8eguUIAG5c85KcD,0.27540821375556657,0.0025523552395258697,0.15151515151515152,59
3PbxfXGwcCLn85zVQK1ulo,0.2569476502631336,0.0028730458341481202,0.06666666666666667,71
1vgQksyJ0IVz8y9XerEOy3,0.2996662000646064,0.002498732120134747,0.30409356725146197,40
7bZowks3ghYkw5ywye26j9,0.26690323199386207,0.0010173269164099675,0.13333333333333333,51
1SDzdhISMGaEQzOCaJQ45C,0.27456590370955014,0.00011673043593927028,0.4,44
3i6za4KlTDNe8mducqnwJi,0.24254837022834233,0.0005510380721292003,0.3,39
