Artists_Id,Popularities,Followers,Num_Albums,Page_rank,Closeness_centralities,Degree_centralities
60FWCT8KxqA3J5Ny7g6ZXT,0.31,6.319823926464474e-06,0.0,0.00014030507228101683,0.30399633923123853,0.0010035122930255895
7aqGFEAHF3O0yMVci78BdR,0.43,5.844486742251761e-06,0.0,0.00010996761267551485,0.3033947328360481,0.0005017561465127947
0t9k7cJ3QB6VEiHg5wBHBK,0.25,4.861403020357287e-06,0.0,0.00010996761267551485,0.3033947328360481,0.0005017561465127947
4kjUXLlk49BHRmOMJmGKdj,0.22,9.938868397174899e-06,0.0009182736455463728,0.0002863831553467952,0.3306786129085781,0.0030105368790767683
7guDJrEfX3qb6FEbdPA5qi,0.79,0.05925852584759372,0.03856749311294766,0.0007249085333958548,0.3494651937576714,0.00852985449071751
1JfH8gevkDviqs50A5NO0L,0.43,0.00016807490709048594,0.0018365472910927456,0.0004956970983666441,0.34109190484340235,0.006522829904666331
0ZmurfdrQoN03Wk4SuBSM0,0.17,1.836530029912753e-07,0.0,0.00011324776448748086,0.29082153801254923,0.0005017561465127947
1GQur7dDvAWhKT9u9YwBJZ,0.42,0.00034427375878388005,0.010101010101010102,0.00022873579178275233,0.29521552362612946,0.0015052684395383841
0FeWKiZSwBRdGzqeCdlH1a,0.54,0.001015968412547735,0.004591368227731864,0.00017372693737618464,0.29120397428404443,0.0010035122930255895
0kp0swievR0bFFY3zRoETY,0.31,0.0001893246398483588,0.0018365472910927456,0.00014571250695430115,0.2949533816782596,0.0010035122930255895
4XquDVA8pkg5Lx91No1JxB,0.57,0.0019024290486331517,0.005509641873278237,0.0003977065520975725,0.3145021303455894,0.004014049172102358
6Of92bKNSsFuoNkF4nQ6Za,0.27,3.808099032613208e-05,0.0009182736455463728,0.00011324776448748086,0.29082153801254923,0.0005017561465127947
20wkVLutqVOYrc0kxFs7rA,0.83,0.03353315860370566,0.0027548209366391185,0.00033067616991582687,0.322962242748339,0.004014049172102358
0DtXHIvJ8NWBg5pGvsgWnR,0.56,0.0022841032013203137,0.005509641873278237,0.00014218232768418196,0.29996989765201687,0.0010035122930255895
07d5etnpjriczFBB8pxmRe,0.68,0.0041610044825376785,0.005509641873278237,0.0012316542127499101,0.3808522835849417,0.019568489713998997
3TaUSUXn41GixL7zbvrIDt,0.66,0.0012923985914030734,0.004591368227731864,0.000346434441881091,0.33013085969852574,0.005017561465127948
3qnGvpP8Yth1AqSBMqON5x,0.76,0.01459086378165084,0.005509641873278237,0.0002586105386055348,0.3259198691741619,0.0030105368790767683
5ItTHwcEtFh6DEOBheMub9,0.55,0.0021751321518395494,0.004591368227731864,0.0001953463310596757,0.2915021208132222,0.0010035122930255895
3jk39CGeaaSO3FPKNx1RUx,0.7,0.004766573252106851,0.0009182736455463728,0.00036198301316203593,0.31685214626391095,0.004515805318615153
3gSm0AZy0BnEXJOJPpB40E,0.23,1.0262961931865383e-06,0.0018365472910927456,0.00011324776448748086,0.29082153801254923,0.0005017561465127947
